ID,depth,location,orientation,C
ANI-1,(0-5),Andes,North,5.36
ANI-1,(5-20),Andes,North,5.19
ANI-1,(20-40),Andes,North,3.57
ANI-2,(0-5),Andes,North,9.42
ANI-2,(5-20),Andes,North,7.17
ANI-2,(20-40),Andes,North,5.09
ANH-1,(0-5),Andes,North,5.79
ANH-1,(5-20),Andes,North,3.84
ANH-1,(20-40),Andes,North,1.69
ANH-2,(0-5),Andes,North,5.79
ANH-2,(5-20),Andes,North,3.18
ANH-2,(20-40),Andes,North,2.49
AND-1,(0-5),Andes,North,4.75
AND-1,(5-20),Andes,North,3.53
AND-1,(20-40),Andes,North,2.77
AND-2,(0-5),Andes,North,1.82
AND-2,(5-20),Andes,North,2.46
AND-2,(20-40),Andes,North,2.91
ASD-1,(0-5),Andes,South,8.46
ASD-1,(5-20),Andes,South,5.44
ASD-1,(20-40),Andes,South,3.79
ASD-2,(0-5),Andes,South,6.73
ASD-2,(5-20),Andes,South,4.88
ASD-2,(20-40),Andes,South,3.74
ASH-1,(0-5),Andes,South,4.7
ASH-1,(5-20),Andes,South,1.54
ASH-1,(20-40),Andes,South,0.77
ASH-2,(0-5),Andes,South,5.6
ASH-2,(5-20),Andes,South,3.39
ASH-2,(20-40),Andes,South,2.01
ASI-1,(0-5),Andes,South,8.32
ASI-1,(5-20),Andes,South,6.38
ASI-1,(20-40),Andes,South,5.08
ASI-2,(0-5),Andes,South,10.7
ASI-2,(5-20),Andes,South,5.4
ASI-2,(20-40),Andes,South,2.71
CNI-1,(0-5),Coast,North,4.51
CNI-1,(5-20),Coast,North,3.69
CNI-1,(20-40),Coast,North,2.37
CNI-2,(0-5),Coast,North,6.12
CNI-2,(5-20),Coast,North,5.37
CNI-2,(20-40),Coast,North,4.05
CNH-1,(0-5),Coast,North,3.43
CNH-1,(5-20),Coast,North,3.03
CNH-1,(20-40),Coast,North,2.52
CNH-2,(0-5),Coast,North,5.93
CNH-2,(5-20),Coast,North,4.36
CNH-2,(20-40),Coast,North,1.72
CND-1,(0-5),Coast,North,4.19
CND-1,(5-20),Coast,North,4.01
CND-1,(20-40),Coast,North,1.99
CND-2,(0-5),Coast,North,3.85
CND-2,(5-20),Coast,North,3.54
CND-2,(20-40),Coast,North,2
CSI-1,(0-5),Coast,South,3.58
CSI-1,(5-20),Coast,South,3.61
CSI-1,(20-40),Coast,South,2.13
CSI-2,(0-5),Coast,South,7.47
CSI-2,(5-20),Coast,South,9.57
CSI-2,(20-40),Coast,South,6
CSH-1,(0-5),Coast,South,4.45
CSH-1,(5-20),Coast,South,3.91
CSH-1,(20-40),Coast,South,1.95
CSH-2,(0-5),Coast,South,5.52
CSH-2,(5-20),Coast,South,4.35
CSH-2,(20-40),Coast,South,2.39
CSD-1,(0-5),Coast,South,8.1
CSD-1,(5-20),Coast,South,4.09
CSD-1,(20-40),Coast,South,2.77
CSD-2,(0-5),Coast,South,6.59
